Traceback (most recent call last):
  File "<frozen runpy>", line 198, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1314, in <module>
    test(
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1261, in test
    with ServerClass(addr, HandlerClass) as httpd:
         ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/socketserver.py", line 457, in __init__
    self.server_bind()
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 1308, in server_bind
    return super().server_bind()
           ^^^^^^^^^^^^^^^^^^^^^
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/http/server.py", line 136, in server_bind
    socketserver.TCPServer.server_bind(self)
  File "/home/jules/.pyenv/versions/3.12.12/lib/python3.12/socketserver.py", line 478, in server_bind
    self.socket.bind(self.server_address)
OSError: [Errno 98] Address already in use
127.0.0.1 - - [25/Dec/2025 10:20:16] "GET /student-dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:20:16] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:20:16] "GET /js/firebase-init.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:20:16] "GET /js/profile-setup.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:20:16] "GET /js/student-dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:20:16] "GET /js/firebase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:20:16] "GET /login.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:01] "GET /student-dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:26] "GET /student-dashboard.html HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:26] "GET /js/firebase-config.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:26] "GET /js/firebase-init.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:26] "GET /js/auth.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:26] "GET /js/student-dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:26] "GET /js/profile-setup.js HTTP/1.1" 200 -
127.0.0.1 - - [25/Dec/2025 10:21:26] "GET /login.html HTTP/1.1" 200 -
